news_id,ticker,forecast_time,news_time,news_text,label,next_day_return,price_5d_return,volume_change
36,META,2025-03-24 09:00,2025-03-23 15:20,Meta says Threads user growth accelerated during the weekend,UP,0.0121,0.0376,-0.2277
37,AAPL,2025-03-25 09:00,2025-03-24 13:10,Apple cuts the price of older iPhone models to clear inventory,DOWN,0.0015,0.0322,-0.0652
38,GOOGL,2025-03-25 09:00,2025-03-25 09:00,Google publishes a transparency report with no major business changes,HOLD,-0.0271,-0.0044,-0.0788
39,AMZN,2025-03-25 09:00,2025-03-24 09:30,Amazon robotics upgrades reduce fulfillment center processing time,UP,0.0327,-0.023,0.2655
40,META,2025-03-25 09:00,2025-03-25 11:55,Meta reports that a key advertiser group reduced campaign spending,DOWN,-0.0298,0.0245,0.202
41,AAPL,2025-03-26 09:00,2025-03-25 22:05,Apple wins a patent dispute related to wearable health sensors,UP,-0.0479,-0.034,0.0004
42,GOOGL,2025-03-26 09:00,2025-03-25 17:25,Google employees protest changes to AI review procedures,HOLD,0.0271,-0.0395,0.2997
43,AMZN,2025-03-26 09:00,2025-03-26 09:00,Amazon opens a logistics hub and keeps cost savings forecast unchanged,HOLD,-0.0104,-0.0253,-0.186
44,META,2025-03-26 09:00,2025-03-25 06:30,Meta receives positive analyst commentary on ad targeting efficiency,UP,-0.0366,-0.0058,0.2113
45,AAPL,2025-03-27 09:00,2025-03-27 10:40,Apple reports weaker Mac shipments in a supply chain channel check,DOWN,-0.0264,-0.0317,-0.0624
46,GOOGL,2025-03-27 09:00,2025-03-26 12:05,Google unveils new ad tools that improve campaign automation,UP,-0.0379,0.0067,-0.2579
47,AMZN,2025-03-27 09:00,2025-03-26 19:55,Amazon sellers complain about rising fulfillment fees before the holiday season,DOWN,-0.0354,-0.0036,0.1625
48,META,2025-03-27 09:00,2025-03-27 09:00,Meta announces a moderation policy update with limited revenue impact,HOLD,-0.0307,-0.004,0.1189
49,AAPL,2025-03-28 09:00,2025-03-27 08:15,Apple adds a major carrier partnership for iPhone financing,UP,0.0423,-0.0242,-0.2136
50,GOOGL,2025-03-28 09:00,2025-03-28 14:30,Google warns that cloud capacity constraints may limit near term sales,DOWN,-0.0359,0.0383,0.0843
51,AMZN,2025-03-28 09:00,2025-03-27 16:20,Amazon MGM signs a streaming content deal expected to lift engagement,UP,-0.0409,0.037,0.0163
52,META,2025-03-28 09:00,2025-03-27 05:45,Meta Reality Labs losses widen beyond analyst expectations,DOWN,-0.0313,0.0373,-0.0868
53,AAPL,2025-03-31 09:00,2025-03-31 09:00,Apple issues a regular security patch for iOS devices,HOLD,0.0376,-0.001,0.0378
54,GOOGL,2025-03-31 09:00,2025-03-30 18:30,Google wins a long term mapping contract with an automotive group,UP,0.0063,0.0244,-0.1953
55,AMZN,2025-03-31 09:00,2025-03-31 10:10,Amazon reports a temporary outage in a major AWS region,DOWN,0.0272,-0.0324,-0.1399
56,META,2025-03-31 09:00,2025-03-30 10:25,Meta launches a new creator monetization tool with strong early adoption,UP,-0.0307,0.0054,0.1406
57,AAPL,2025-04-01 09:00,2025-03-31 20:15,Apple supplier Foxlink raises shipment outlook for premium devices,UP,-0.0447,0.0169,-0.2395
58,GOOGL,2025-04-01 09:00,2025-03-31 07:35,Google faces criticism over AI search summaries from major publishers,DOWN,-0.0176,0.0135,0.1667
59,AMZN,2025-04-01 09:00,2025-04-01 09:00,Amazon changes packaging rules in a way analysts view as neutral,HOLD,0.0145,0.0191,0.0202
60,META,2025-04-01 09:00,2025-04-01 12:45,Meta faces a new class action over youth privacy safeguards,DOWN,0.0392,0.0232,0.1302
61,AAPL,2025-04-02 09:00,2025-04-01 11:10,Apple announces stronger App Store developer revenue sharing trends,UP,0.037,0.0245,0.247
62,GOOGL,2025-04-02 09:00,2025-04-02 09:00,Google updates Workspace pricing with limited expected churn,HOLD,0.0188,0.0203,-0.0875
63,AMZN,2025-04-02 09:00,2025-04-01 14:45,Amazon cuts corporate travel spending as part of a cost discipline plan,UP,0.0177,0.019,-0.1286
64,META,2025-04-02 09:00,2025-04-01 09:20,Meta ad dashboard shows slower conversion rates for gaming advertisers,DOWN,0.0081,-0.0316,-0.0991
65,AAPL,2025-04-03 09:00,2025-04-03 13:05,Apple reduces internal forecast for Vision headset sales,DOWN,-0.0042,-0.0383,0.2192
66,GOOGL,2025-04-03 09:00,2025-04-02 16:30,Google Cloud backlog expands after several enterprise AI deals,UP,-0.0205,-0.0243,0.0455
67,AMZN,2025-04-03 09:00,2025-04-02 08:55,Amazon opens preorders for a popular smart home device refresh,UP,0.0029,-0.022,0.0193
68,META,2025-04-03 09:00,2025-04-03 09:00,Meta hosts an investor education session without changing guidance,HOLD,0.0264,0.0116,-0.0543
69,AAPL,2025-04-04 09:00,2025-04-03 12:40,Apple reports stable wearables demand after a quiet product cycle,HOLD,0.0225,0.0213,-0.1834
70,GOOGL,2025-04-04 09:00,2025-04-04 10:25,Google ad buyers report budget cuts in travel and finance categories,DOWN,-0.0043,0.0329,0.2196
71,AMZN,2025-04-04 09:00,2025-04-03 18:05,Amazon receives positive analyst coverage on advertising revenue growth,UP,-0.0143,-0.0176,0.0664
72,META,2025-04-04 09:00,2025-04-03 07:15,Meta launches improved AI translation for creators in emerging markets,UP,-0.048,-0.0198,-0.0326
73,AAPL,2025-04-07 09:00,2025-04-07 09:00,Apple hosts a developer workshop with no expected earnings effect,HOLD,0.0298,-0.0048,0.2653
74,GOOGL,2025-04-07 09:00,2025-04-06 14:20,Google's Pixel sales improve after a promotional campaign,UP,0.0043,-0.0236,-0.1839
75,AMZN,2025-04-07 09:00,2025-04-07 12:50,Amazon faces delivery delays after severe weather disrupts a major hub,DOWN,0.0182,0.0103,0.0151
76,META,2025-04-07 09:00,2025-04-06 19:30,Meta is fined for content moderation failures in a key market,DOWN,0.0222,0.0159,0.2376
77,AAPL,2025-04-08 09:00,2025-04-07 08:45,Apple receives stronger enterprise Mac orders from a large retailer,UP,-0.0246,0.0082,-0.1836
78,GOOGL,2025-04-08 09:00,2025-04-07 21:15,Google says Android licensing revenue remains in line with plan,HOLD,0.0498,-0.0197,0.0643
79,AMZN,2025-04-08 09:00,2025-04-08 09:00,Amazon Prime Video releases a schedule update with neutral subscriber impact,HOLD,0.0419,-0.0048,0.0737
80,META,2025-04-08 09:00,2025-04-08 11:30,Meta warns that regulatory costs may rise in the next quarter,DOWN,-0.0091,0.0034,0.2172
81,AAPL,2025-04-09 09:00,2025-04-08 15:05,Apple expands its buyback authorization in a board announcement,UP,0.0127,0.0151,0.0818
82,GOOGL,2025-04-09 09:00,2025-04-09 09:00,Google changes the layout of search results without clear monetization impact,HOLD,0.0257,-0.0008,-0.07
83,AMZN,2025-04-09 09:00,2025-04-08 06:50,Amazon pharmacy service reports faster prescription delivery adoption,UP,-0.0194,-0.0019,-0.0894
84,META,2025-04-09 09:00,2025-04-08 16:40,Meta advertisers praise improved measurement tools for small campaigns,UP,-0.0359,0.0053,-0.1178
85,AAPL,2025-04-10 09:00,2025-04-10 10:15,Apple is downgraded by analysts after concerns about smartphone replacement cycles,DOWN,0.0225,0.0331,-0.0589
86,GOOGL,2025-04-10 09:00,2025-04-09 13:35,Google wins approval to expand a data center campus,UP,-0.0469,0.0091,0.129
87,AMZN,2025-04-10 09:00,2025-04-10 09:00,Amazon announces routine updates to seller documentation,HOLD,-0.0173,-0.0289,-0.155
88,META,2025-04-10 09:00,2025-04-09 05:25,Meta signs a partnership to bring AI assistants into business messaging,UP,-0.0301,0.0179,-0.1613
89,AAPL,2025-04-11 09:00,2025-04-10 19:40,Apple faces reports of overheating issues in a new laptop line,DOWN,-0.0494,0.02,0.2489
90,GOOGL,2025-04-11 09:00,2025-04-11 12:20,Google delays a planned cloud region because of permitting issues,DOWN,0.0468,-0.0001,0.0496
91,AMZN,2025-04-11 09:00,2025-04-10 10:10,Amazon reports stronger grocery basket sizes after loyalty discounts,UP,-0.0041,-0.0183,0.2194
92,META,2025-04-11 09:00,2025-04-11 09:00,Meta updates community standards with no expected advertiser reaction,HOLD,-0.0486,-0.0083,0.2363
93,AAPL,2025-04-14 09:00,2025-04-13 11:55,Apple secures a supply agreement for advanced display panels,UP,0.0138,-0.016,0.1154
94,GOOGL,2025-04-14 09:00,2025-04-13 17:05,Google loses an appeal in a competition case involving app payments,DOWN,-0.0336,0.0193,-0.1501
95,AMZN,2025-04-14 09:00,2025-04-14 13:40,Amazon lowers second quarter operating income outlook on wage inflation,DOWN,0.0042,0.0131,-0.0031
96,META,2025-04-14 09:00,2025-04-13 09:10,Meta reports steady daily active users with no surprise in engagement,HOLD,-0.0298,0.0271,-0.0838
97,AAPL,2025-04-15 09:00,2025-04-15 09:00,Apple announces a recycling initiative that analysts view as financially neutral,HOLD,0.0119,0.0338,-0.2647
98,GOOGL,2025-04-15 09:00,2025-04-14 08:30,Google Cloud introduces discounted security bundles for enterprise customers,UP,0.0347,-0.0114,-0.2524
99,AMZN,2025-04-15 09:00,2025-04-14 20:25,Amazon advertising marketplace shows strong sponsored product demand,UP,-0.0454,-0.0237,0.1255
100,META,2025-04-15 09:00,2025-04-15 10:50,Meta discloses weaker than expected virtual reality headset shipments,DOWN,-0.0429,-0.0052,-0.1523
101,AAPL,2025-03-12 09:00,2025-03-11 06:30,Apple beats expectations on services revenue in the quarterly period,UP,-0.0308,0.0107,-0.1564
102,AAPL,2025-03-12 09:00,2025-03-11 14:00,Apple faces a formal regulatory review from European digital authorities,UP,-0.0308,0.0107,-0.1564
103,AAPL,2025-03-14 09:00,2025-03-13 06:30,Apple wins a new distribution agreement with a media conglomerate,UP,0.0384,0.0357,0.293
104,AAPL,2025-03-14 09:00,2025-03-13 14:00,Apple is fined by German data authorities over privacy handling practices,UP,0.0384,0.0357,0.293
105,AAPL,2025-03-19 09:00,2025-03-18 06:30,Apple signs a new enterprise software deal with a banking institution,UP,0.0122,0.015,0.022
106,AAPL,2025-03-19 09:00,2025-03-18 14:00,Apple delays production on a next generation component by one fiscal quarter,UP,0.0122,0.015,0.022
107,AAPL,2025-03-21 09:00,2025-03-20 06:30,Apple record profit posted in the digital content division this period,UP,-0.0456,0.0335,-0.2403
108,AAPL,2025-03-21 09:00,2025-03-20 14:00,Apple reports softer orders from key component suppliers in the period,UP,-0.0456,0.0335,-0.2403
109,AAPL,2025-03-26 09:00,2025-03-25 06:30,Apple raises shipment outlook for the next quarter on confirmed orders,UP,-0.0479,-0.034,0.0004
110,AAPL,2025-03-26 09:00,2025-03-25 14:00,Apple misses expectations on hardware revenue in a preliminary industry report,UP,-0.0479,-0.034,0.0004
111,AAPL,2025-03-28 09:00,2025-03-27 06:30,Apple raises guidance for the year after a strong holiday period,UP,0.0423,-0.0242,-0.2136
112,AAPL,2025-03-28 09:00,2025-03-27 14:00,Apple cuts guidance on wearables segment following muted market feedback,UP,0.0423,-0.0242,-0.2136
113,AAPL,2025-04-01 09:00,2025-03-31 06:30,Apple positive analyst note published following a capital markets update,UP,-0.0447,0.0169,-0.2395
114,AAPL,2025-04-01 09:00,2025-03-31 14:00,Apple is fined by a regulatory body over third party payment processing fees,UP,-0.0447,0.0169,-0.2395
115,AAPL,2025-04-02 09:00,2025-04-01 06:30,Apple strong sales reported in the refurbished device category this quarter,UP,0.037,0.0245,0.247
116,AAPL,2025-04-02 09:00,2025-04-01 14:00,Apple faces a formal data privacy inquiry from a European digital regulator,UP,0.037,0.0245,0.247
117,AAPL,2025-04-08 09:00,2025-04-07 06:30,Apple reports faster growth in subscription tiers versus industry peers,UP,-0.0246,0.0082,-0.1836
118,AAPL,2025-04-08 09:00,2025-04-07 14:00,Apple delays production of a new device model by two fiscal quarters,UP,-0.0246,0.0082,-0.1836
119,AAPL,2025-04-09 09:00,2025-04-08 06:30,Apple reports stronger than expected unit deliveries in the fiscal period,UP,0.0127,0.0151,0.0818
120,AAPL,2025-04-09 09:00,2025-04-08 14:00,Apple misses expectations on Mac revenue in a channel distribution report,UP,0.0127,0.0151,0.0818
121,AAPL,2025-04-14 09:00,2025-04-13 06:30,Apple record level of App Store billings achieved in the fiscal quarter,UP,0.0138,-0.016,0.1154
122,AAPL,2025-04-14 09:00,2025-04-13 14:00,Apple cuts guidance on annual revenue following a challenging retail period,UP,0.0138,-0.016,0.1154
123,AMZN,2025-03-13 09:00,2025-03-12 06:30,Amazon signs a new enterprise agreement with a European financial institution,UP,-0.045,0.0124,0.0337
124,AMZN,2025-03-13 09:00,2025-03-12 14:00,Amazon delays production of new logistics machinery by two fiscal periods,UP,-0.045,0.0124,0.0337
125,AAPL,2025-03-18 09:00,2025-03-17 06:45,Apple misses expectations on iPhone unit deliveries in a channel review,DOWN,-0.0446,0.0322,-0.1772
126,AAPL,2025-03-18 09:00,2025-03-17 13:30,Apple signs a content licensing deal with a European media organization,DOWN,-0.0446,0.0322,-0.1772
127,AAPL,2025-03-25 09:00,2025-03-24 06:45,Apple cuts guidance on hardware revenue citing shifting consumer priorities,DOWN,0.0015,0.0322,-0.0652
128,AAPL,2025-03-25 09:00,2025-03-24 13:30,Apple wins a patent case allowing it to proceed with new accessory sales,DOWN,0.0015,0.0322,-0.0652
129,AAPL,2025-04-11 09:00,2025-04-10 06:45,Apple faces a margin inquiry from an investment firm in the annual period,DOWN,-0.0494,0.02,0.2489
130,AAPL,2025-04-11 09:00,2025-04-10 13:30,Apple signs a joint agreement with an East Asian digital services group,DOWN,-0.0494,0.02,0.2489
131,AMZN,2025-03-14 09:00,2025-03-13 06:45,Amazon misses expectations on operating margin in the quarterly results,DOWN,0.0172,0.0352,-0.012
132,AMZN,2025-03-14 09:00,2025-03-13 13:30,Amazon signs a new cloud agreement with a national healthcare organization,DOWN,0.0172,0.0352,-0.012
133,AMZN,2025-03-20 09:00,2025-03-19 06:45,Amazon cuts guidance on retail revenue citing headwinds in consumer goods,DOWN,-0.0292,0.0061,0.219
134,AMZN,2025-03-20 09:00,2025-03-19 13:30,Amazon wins a public sector contract from a regional government authority,DOWN,-0.0292,0.0061,0.219
135,AMZN,2025-03-27 09:00,2025-03-26 06:45,Amazon faces a fee structure inquiry from a regulatory body in the EU,DOWN,-0.0354,-0.0036,0.1625
136,AMZN,2025-03-27 09:00,2025-03-26 13:30,Amazon signs a logistics deal with a pharmaceutical distribution company,DOWN,-0.0354,-0.0036,0.1625
137,GOOGL,2025-04-01 09:00,2025-03-31 06:45,Google misses expectations on total ad revenue in a preliminary channel check,DOWN,-0.0176,0.0135,0.1667
138,GOOGL,2025-04-01 09:00,2025-03-31 13:30,Google signs a default search agreement with a new mobile device partner,DOWN,-0.0176,0.0135,0.1667
139,GOOGL,2025-04-14 09:00,2025-04-13 06:45,Google cuts guidance on cloud growth following budget reviews among clients,DOWN,-0.0336,0.0193,-0.1501
140,GOOGL,2025-04-14 09:00,2025-04-13 13:30,Google wins a government cloud agreement with an Asia Pacific public agency,DOWN,-0.0336,0.0193,-0.1501
141,META,2025-03-28 09:00,2025-03-27 06:45,Meta misses expectations on total revenue per user in the North American region,DOWN,-0.0313,0.0373,-0.0868
142,META,2025-03-28 09:00,2025-03-27 13:30,Meta wins a court ruling allowing payment features to proceed in India,DOWN,-0.0313,0.0373,-0.0868
143,META,2025-04-02 09:00,2025-04-01 06:45,Meta cuts guidance on ad revenue citing seasonal budget reallocations,DOWN,0.0081,-0.0316,-0.0991
144,META,2025-04-02 09:00,2025-04-01 13:30,Meta signs a content agreement with an international sports organization,DOWN,0.0081,-0.0316,-0.0991
